N°_dépôt;N°_caisse;Localité;Année;N°_cantonal;Lieu-dit;N°_terrain;Récolement_LM_2021;Matière;Caractéristique;Description_de_l'objet;Ramassage_surface;Déblais;N°_couche;Situation;Altitude;Loc_Nord;Loc_Sud;N°_structure;N°_décapage;UF;Date_découverte;Période_culturelle;Datation;Année_de_restauration;Etat_de_conservation;N°_Photos_DE;Fiche_ITMS_oui;Fiche_ITMS_non;Publication;Dessin_(+_échelle);Inventorier_le,_par_Nom_/_date;Envoi_MR;Remarque_restauration;Retour_MR;Remarque
Spira;33;CHE;2012;7953;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7954;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7955;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7956;BR;473;x;lit;sil;éclat;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7957;BR;473;x;lit;sil;esquille;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7958;BR;473;x;lit;sil;esquille;;;3;base;;;;;;B8;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7959;BR;555;x;lit;sil;pointe à tronquature;;;3;milieu;;;;;;B8;21.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7960;BR;477;x;lit;sil;éclat;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7961;BR;477;x;lit;sil;éclat;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7962;BR;477;x;lit;sil;fragment lamelle corticale;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7963;BR;478;x;lit;sil;éclat cortical;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7964;BR;478;x;lit;sil;éclat cortical;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7965;BR;478;x;lit;sil;éclat cortical;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7966;BR;479;x;lit;sil;lame;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7967;BR;479;x;lit;sil;lame retouchée;;;3;base;;;;;;B9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7968;BR;482;x;lit;sil;lame corticale;;;3;base;;;;;;B10;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7969;BR;482;x;lit;sil;éclat;;;3;base;;;;;;B10;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7970;BR;482;x;lit;sil;;;;3;base;;;;;;B10;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7971;BR;3446;x;lit;sil;éclat;;;3;;;;;;;B10;19.09;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7972;BR;3446;x;lit;sil;éclat cortical;;;3;;;;;;;B10;19.09;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7973;BR;3446;x;lit;sil;éclat;;;3;;;;;;;B10;19.09;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7974;BR;288;x;lit;sil; lame corticale;;;3;base;;;;;;C2;11.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7975;BR;289;x;lit;sil;éclat;;;3;base;;;;;;C2;11.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7976;BR;289;x;lit;sil;éclat;;;3;base;;;;;;C2;11.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7977;BR;750;x;lit;sil;lamelle ?;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7978;BR;750;x;lit;sil;fragment de lame;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7979;BR;750;x;lit;sil;lame ?;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7980;BR;750;x;lit;sil;éclat retouché;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7981;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7982;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7983;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7984;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7985;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7986;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7987;BR;750;x;lit;sil;éclat;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7988;BR;750;x;lit;sil;éclat nucléus;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7989;BR;750;x;lit;sil;éclat cortical;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7990;BR;750;x;lit;sil;éclat cortical;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7991;BR;750;x;lit;sil;éclat cortical;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7992;BR;750;x;lit;sil;éclat cortical;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7993;BR;750;x;lit;sil;éclat cortical;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7994;BR;750;x;lit;sil;esquille;;;3;base;;;;;;C6;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7995;BR;990;x;lit;sil;éclat cortical (chaille);;;4;-;;;;;;C7;29.05;;;;;;;;;;lm 2014;;;;
